,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,23033,23036,23037,23039,23040,5018,10092,18518,17328,19076,15543,17048,13899,3250,7002
1,23034,23041,23042,17250,19355,16463,15271,1327,3555,18284,9993,681,947,17174,7854
2,23035,23040,4077,6672,14429,20406,6432,5349,14414,13121,21692,7830,18902,4443,8151
3,23036,23033,23039,23037,23040,5018,14526,10092,13977,16028,8258,3039,17048,18445,3701
4,23037,23033,23036,23039,5018,18518,17048,9639,12029,15543,1018,3250,14450,21756,10813
5,23038,20213,18741,677,9870,10534,16541,16023,9900,12622,19810,11220,16160,18267,1466
6,23039,23036,23033,23037,5018,23040,14526,3701,8712,15543,14264,19277,9639,3039,16735
7,23040,23035,511,23041,23033,23034,6786,23036,12584,4456,20033,21538,17315,7830,17250
8,23041,23034,23042,19355,16463,3555,681,6353,17250,9993,15271,9859,1327,17928,17174
9,23042,23034,23041,19355,1327,992,16463,3555,11216,7854,12418,1435,4279,947,132
10,23043,16828,22697,9005,14533,21865,11132,12558,22924,11591,2031,19144,19400,19578,16621
